Year, Population, Births, Deaths, Natural Change, CBR, CDR, NCR, IMR, TFR, LE
2020,746225356,6938739,9119281,-2180542,9.3,12.2,-2.9,1.5,1.47,77.7
2021,745173774,6879818,9656398,-2776580,9.2,13.0,-3.7,,1.48,77.0
